I	FM	I
Hals	NN	Hals
war	VAFIN	sein
angeschwollen	VVPP	anschwellen
und	KON	und
ihr	PPOSAT	ihr
Mund	NN	Mund
gekrümmt	VVPP	krümmen
vom	APPRART	von
Schluchzen	NN	Schluchzen
grenzenloser	ADJA	grenzenlos
Lust	NN	Lust
.	$.	.
Beladen	VVPP	beladen
war	VAFIN	sein
ein	ART	eine
jedes	PIAT	jede
Augenlid	NN	Augenlid
mit	APPR	mit
Küssen	NN	Kuss|Küssen
,	$,	,
jede	PIAT	jede
Schulter	NN	Schulter
,	$,	,
jede	PIAT	jede
Hüfte	NN	Hüfte
!	$.	!
Ich	PPER	ich
habe	VAFIN	haben
hundertmal	ADV	hundertmal
im	APPRART	in
Arm	NN	Arm
von	APPR	von
andern	PIS	andere
der	ART	die
anderen	PIS	andere
vergessen	VVINF	vergessen
,	$,	,
wie	KOUS	wie
durch	APPR	durch
Dunst	NN	Dunst
durch	APPR	durch
ihren	PPOSAT	ihr
Leib	NN	Leib
hindurch	ADV	hindurch
den	ART	die
Perlenglanz	NN	Perlenglanz
von	APPR	von
jenem	PDAT	jen
Leib	NN	Leib
im	APPRART	in
Dunkeln	NN	Dunkeln
schwimmen	VVINF	schwimmen
sehn	VVIMP	sehnen
und	KON	und
zu	APPR	zu
mir	PPER	ich
glühen	VVFIN	glühen
durch	APPR	durch
den	ART	die
Dunst	NN	Dunst
goldfarben	ADJD	goldfarben
ein	ART	eine
erbsengroßes	ADJA	erbsengroßes
Mal	NN	Mal
an	APPR	an
ihrer	PPOSAT	ihr
Brust	NN	Brust
–	ADJA	–
VENIER	NN	VENIER
.	$.	.
Ein	ART	eine
Mal	NN	Mal
!	$.	!
hier	ADV	hier
!	$.	!
hier	ADV	hier
?	$.	?
Zeigt	VVFIN	zeigen
an	APPR	an
den	ART	die
Hals	NN	Hals
.	$.	.
BARON	NN	Baron
.	$.	.
Wie	KOUS	wie
?	$.	?
Hier	ADV	hier
mich	PPER	ich
dünkt	VVFIN	dünken
.	$.	.
Denkt	VVFIN	denken
nach	PTKVZ	nach
.	$.	.
Nein	PTKANT	nein
,	$,	,
hier	ADV	hier
.	$.	.
An	APPR	an
der	ART	die
Brust	NN	Brust
.	$.	.
Was	PWS	was
ficht	VVFIN	fechten
dich	PPER	du
an	PTKVZ	an
?	$.	?
VENIER	NN	VENIER
.	$.	.
Nichts	PIS	nichts
,	$,	,
nichts	PIS	nichts
,	$,	,
beinahe	ADV	beinahe
nichts	PIS	nichts
.	$.	.
Geht	VVFIN	gehen
nach	APPR	nach
rechts	ADV	rechts
vorne	ADV	vorne
.	$.	.
Baron	NN	Baron
geht	VVFIN	gehen
zu	APPR	zu
Le	NE	Le
Duc	NE	Duc
nach	APPO	nach
links	ADV	links
rückwärts	ADV	rückwärts
.	$.	.
VENIER	NN	VENIER
rechts	ADV	rechts
vorne	ADV	vorne
stehend	ADJD	stehend
.	$.	.
Ich	PPER	ich
bin	VAFIN	sein
wahnsinnig	ADJD	wahnsinnig
,	$,	,
meine	PPOSAT	mein
ganze	ADJA	ganz
Angst	NN	Angst
und	KON	und
Erregung	NN	Erregung
ist	VAFIN	sein
sinnlos	ADJD	sinnlos
und	KON	und
ich	PPER	ich
kann	VMFIN	können
sie	PPER	sie
nicht	PTKNEG	nicht
bemeistern	VVINF	bemeistern
.	$.	.
Er	PPER	er
hat	VAFIN	haben
mich	PRF	ich
in	APPR	in
der	ART	die
Oper	NN	Oper
um	APPR	um
ihren	PPOSAT	ihr
Namen	NN	Name
gefragt	VVPP	fragen
,	$,	,
also	ADV	also
kennt	VVFIN	kennen
er	PPER	er
sie	PPER	sie
nicht	PTKNEG	nicht
.	$.	.
Zwar	ADV	zwar
er	PPER	er
könnte	VMFIN	können
sie	PPER	sie
doch	ADV	doch
früher	ADJD	früh
gekannt	VVPP	kennen
haben	VAFIN	haben
und	KON	und
hätte	VAFIN	haben
nur	ADV	nur
wissen	VVINF	wissen
wollen	VMFIN	wollen
,	$,	,
wie	KOUS	wie
sie	PPER	sie
jetzt	ADV	jetzt
heißt	VVFIN	heißen
.	$.	.
Das	ART	die
Muttermal	NN	Muttermal
!	$.	!
Jede	PIAT	jede
zweite	ADJA	zweit
Frau	NN	Frau
hat	VAFIN	haben
eines	PIS	eine
.	$.	.
Und	KON	und
er	PPER	er
hat	VAFIN	haben
ja	ADV	ja
die	ART	die
falsche	ADJA	falsch
Stelle	NN	Stelle
bezeichnet	VVPP	bezeichnen
.	$.	.
Warum	PWAV	warum
fallen	VVFIN	fallen
mir	PPER	ich
nur	ADV	nur
die	ART	die
Punkte	NN	Punkt
auf	PTKVZ	auf
,	$,	,
die	PRELS	die
meinen	PPOSAT	mein
Verdacht	NN	Verdacht
bestätigen	VVFIN	bestätigen
,	$,	,
nicht	PTKNEG	nicht
die	ART	die
,	$,	,
die	PRELS	die
ihn	PPER	er
entkräften	VVINF	entkräften
!	$.	!
Es	PPER	es
war	VAFIN	sein
noch	ADV	noch
etwas	PIS	etwas
,	$,	,
Nachdenkend	ADJD	nachdenkend
.	$.	.
noch	ADV	noch
etwas	ADV	etwas
sehr	ADV	sehr
Schlimmes	NN	Schlimme
!	$.	!
Das	ART	die
mit	APPR	mit
dem	ART	die
Mantel	NN	Mantel
,	$,	,
das	PRELS	die
mit	APPR	mit
dem	ART	die
Mantel	NN	Mantel
!	$.	!
BARON	NN	Baron
zu	APPR	zu
Le	NE	Le
Duc	NE	Duc
.	$.	.
Der	ART	die
Brief	NN	Brief
an	APPR	an
die	ART	die
Opernsängerin	NN	Opernsängerin
ist	VAFIN	sein
bestellt	VVPP	bestellen
?	$.	?
LE	NE	LE
DUC	NE	Duc
.	$.	.
Zu	APPR	zu
Befehl	NN	Befehl
,	$,	,
Euer	PPOSAT	euer
Gnaden	NN	Gnade
,	$,	,
und	KON	und
es	PPER	es
ist	VAFIN	sein
auch	ADV	auch
schon	ADV	schon
eine	ART	eine
alte	ADJA	alt
Frau	NN	Frau
draußen	ADV	draußen
,	$,	,
welche	PRELS	welche
die	ART	die
Antwort	NN	Antwort
bringt	VVFIN	bringen
.	$.	.
BARON	NN	Baron
.	$.	.
Wo	PWAV	wo
?	$.	?
her	ADV	her
mit	APPR	mit
dem	ART	die
Brief	NN	Brief
!	$.	!
LE	NE	LE
DUC	NE	Duc
.	$.	.
Sie	PPER	Sie
will	VMFIN	wollen
nur	ADV	nur
Euer	PPOSAT	euer
Gnaden	NN	Gnade
selbst	ADV	selbst
–	ADJD	–
sie	PPER	sie
wartet	VVFIN	warten
in	APPR	in
der	ART	die
Kammer	NN	Kammer
neben	APPR	neben
dem	ART	die
Vorsaal	NN	Vorsaal
.	$.	.
BARON	NN	Baron
.	$.	.
Ich	PPER	ich
gehe	VVFIN	gehen
sogleich	ADV	sogleich
.	$.	.
Laut	ADJD	laut
.	$.	.
Zwei	CARD	zwei
Spieltische	NN	Spieltisch
!	$.	!
Auf	APPR	auf
jeden	PIAT	jede
vier	CARD	vier
Lichter	NN	Licht
!	$.	!
Zu	APPR	zu
Venier	NN	Venier
.	$.	.
Du	PPER	du
entschuldigst	VVFIN	entschuldigen
mich	PRF	ich
für	APPR	für
einen	ART	eine
Augenblick	NN	Augenblick
.	$.	.
VENIER	NN	VENIER
geht	VVFIN	gehen
zu	APPR	zu
Le	NE	Le
Duc	NE	Duc
.	$.	.
Wer	PWS	wer
ist	VAFIN	sein
dein	PPOSAT	dein
Herr	NN	Herr
?	$.	?
Will	VMFIN	wollen
ihm	PPER	er
Geld	NN	Geld
geben	VVINF	geben
.	$.	.
LE	NE	LE
DUC	NE	Duc
zurücktretend	ADJD	zurücktretend
.	$.	.
Eure	PPOSAT	euer
Exzellenz	NN	Exzellenz
werden	VAFIN	werden
wissen	VVINF	wissen
,	$,	,
daß	KOUS	dass
ich	PPER	ich
die	ART	die
Ehre	NN	Ehre
habe	VAFIN	haben
,	$,	,
dem	ART	die
Herrn	NN	Herr
Baron	NN	Baron
Weidenstamm	NN	Weidenstamm
aus	APPR	aus
Amsterdam	NE	Amsterdam
zu	PTKZU	zu
dienen	VVINF	dienen
.	$.	.
VENIER	NN	VENIER
.	$.	.
Weidenstamm	NN	Weidenstamm
!	$.	!
Weidenstamm	NN	Weidenstamm
!	$.	!
es	PPER	es
gibt	VVFIN	geben
keinen	PIAT	keine
Holländer	NN	Holländer
auf	APPR	auf
der	ART	die
Welt	NN	Welt
,	$,	,
der	PRELS	die
ein	ART	eine
solches	PIAT	solche
Venezianisch	NN	Venezianisch
spricht	VVFIN	sprechen
.	$.	.
LE	NE	LE
DUC	NE	Duc
.	$.	.
Ich	PPER	ich
habe	VAFIN	haben
sagen	VVINF	sagen
gehört	VVFIN	gehören
,	$,	,
Verwandtschaften	NN	Verwandtschaft
–	ADJA	–
VENIER	NN	VENIER
.	$.	.
Des	ART	die
Teufels	NN	Teufel
Verwandtschaften	NN	Verwandtschaft
!	$.	!
LE	NE	LE
DUC	NE	Duc
.	$.	.
Zumindest	ADV	zumindest
habe	VAFIN	haben
ich	PPER	ich
aus	APPR	aus
dem	ART	die
Mund	NN	Mund
meines	PPOSAT	mein
gnädigen	ADJA	gnädig
Herrn	NN	Herr
selbst	ADV	selbst
die	ART	die
wiederholte	ADJA	wiederholt
Versicherung	NN	Versicherung
,	$,	,
daß	KOUS	dass
er	PPER	er
sich	PRF	sich
seit	APPR	seit
mehr	ADV	mehr
als	KOKOM	als
fünfzehn	CARD	fünfzehn
Jahren	NN	Jahr
niemals	ADV	niemals
in	APPR	in
Venedig	NE	Venedig
aufgehalten	VVPP	aufhalten
hat	VAFIN	haben
.	$.	.
VENIER	NN	VENIER
.	$.	.
Die	PDS	die
hast	VAFIN	haben
du	PPER	du
,	$,	,
braver	ADJA	brav
Mensch	NN	Mensch
?	$.	?
die	ART	die
wiederholte	ADJA	wiederholt
Versicherung	NN	Versicherung
?	$.	?
LE	NE	LE
DUC	NE	Duc
.	$.	.
Wiederholt	ADJD	wiederholt
und	KON	und
ausdrücklich	ADJD	ausdrücklich
.	$.	.
VENIER	NN	VENIER
gibt	VVFIN	geben
ihm	PPER	er
Geld	NN	Geld
.	$.	.
Du	PPER	du
bist	VAFIN	sein
ein	ART	eine
sehr	ADV	sehr
braver	ADJA	brav
Mensch	NN	Mensch
und	KON	und
verdienst	VVFIN	verdienen
,	$,	,
einem	ART	eine
so	ADV	so
ausgezeichneten	ADJA	ausgezeichnet
Kavalier	NN	Kavalier
,	$,	,
wie	KOUS	wie
der	ART	die
Baron	NN	Baron
ist	VAFIN	sein
,	$,	,
attachiert	VVPP	attachieren
zu	PTKZU	zu
sein	VAINF	sein
.	$.	.
LE	NE	LE
DUC	NE	Duc
.	$.	.
Ich	PPER	ich
küsse	VVFIN	küssen
Euer	PPOSAT	euer
Exzellenz	NN	Exzellenz
die	ART	die
Hände	NN	Hand
.	$.	.
VENIER	NN	VENIER
.	$.	.
Vor	APPR	vor
fünfzehn	CARD	fünfzehn
Jahren	NN	Jahr
war	VAFIN	sein
sie	PPER	sie
ein	ART	eine
zwölfjähriges	ADJA	zwölfjährig
Kind	NN	Kind
.	$.	.
Und	KON	und
dann	ADV	dann
:	$.	:
er	PPER	er
spricht	VVFIN	sprechen
nie	ADV	nie
von	APPR	von
ihrem	PPOSAT	ihr
Singen	NE	Singen
;	$.	;
wie	KOUS	wie
hab	VAIMP	haben
ich	PPER	ich
solch	PIAT	solche
ein	ART	eine
Narr	NN	Narr
sein	VAINF	sein
können	VMFIN	können
,	$,	,
das	PRELS	die
zu	PTKZU	zu
übersehen	VVINF	übersehen
.	$.	.
Er	PPER	er
wäre	VAFIN	sein
tausendmal	ADV	tausendmal
zu	PTKA	zu
eitel	ADJD	eitel
,	$,	,
so	ADV	so
etwas	PIS	etwas
zu	PTKZU	zu
verschweigen	VVINF	verschweigen
.	$.	.
Baron	NN	Baron
kommt	VVFIN	kommen
zurück	PTKVZ	zurück
,	$,	,
Venier	NN	Venier
ihm	PPER	er
freundlich	ADJD	freundlich
entgegen	PTKVZ	entgegen
.	$.	.
VENIER	NN	VENIER
.	$.	.
Nun	ADV	nun
aber	ADV	aber
wirklich	ADJD	wirklich
gute	ADJA	gut
Nacht	NN	Nacht
,	$,	,
und	KON	und
morgen	ADV	morgen
zum	APPRART	zu
Frühstück	NN	Frühstück
,	$,	,
hoff	VVIMP	hoffen
ich	PPER	ich
,	$,	,
tust	VVFIN	tun
du	PPER	du
mir	PRF	ich
die	ART	die
Ehre	NN	Ehre
:	$.	:
Casa	NE	Casa
Venier	NN	Venier
,	$,	,
die	ART	die
jüngere	ADJA	jung
,	$,	,
drei	CARD	drei
Schritte	NN	Schritt
hinter	APPR	hinter
San	NE	San
Zaccaria	NE	Zaccaria
.	$.	.
BARON	NN	Baron
.	$.	.
Wie	KOUS	wie
?	$.	?
Gute	ADJA	gut
Nacht	NN	Nacht
?	$.	?
jetzt	ADV	jetzt
wär	VVFIN	wär
es	PPER	es
Schlafenszeit	NN	Schlafenszeit
?	$.	?
Du	PPER	du
denkst	VVFIN	denken
nicht	PTKNEG	nicht
dran	PTKVZ	dran
!	$.	!
und	KON	und
ich	PPER	ich
denk	VVIMP	denken
nicht	PTKNEG	nicht
daran	PAV	daran
,	$,	,
dich	PPER	du
fortzulassen	VVIZU	fortzulassen
!	$.	!
Nun	ADV	nun
kommt	VVFIN	kommen
mein	PPOSAT	mein
Bankier	NN	Bankier
,	$,	,
vielmehr	ADV	vielmehr
sein	PPOSAT	sein
Sohn	NN	Sohn
und	KON	und
bringt	VVFIN	bringen
,	$,	,
soviel	PIS	soviele
er	PPER	er
kann	VMFIN	können
,	$,	,
an	APPR	an
lustiger	ADJA	lustig
Gesellschaft	NN	Gesellschaft
.	$.	.
VENIER	NN	VENIER
.	$.	.
Nun	ADV	nun
,	$,	,
ich	PPER	ich
kann	VMFIN	können
beinah	ADV	beinah
erraten	VVPP	erraten
.	$.	.
BARON	NN	Baron
.	$.	.
Wie	KOUS	wie
?	$.	?
VENIER	NN	VENIER
.	$.	.
Die	ART	die
Redegonda	NN	Redegonda
,	$,	,
die	PRELS	die
Brizzi	NE	Brizzi
–	ADJA	–
BARON	NN	Baron
.	$.	.
Eine	ART	eine
andre	PIS	andere
nannte	VVFIN	nennen
er	PPER	er
.	$.	.
VENIER	NN	VENIER
.	$.	.
Die	ART	die
Corticelli	NE	Corticelli
,	$,	,
wie	KOKOM	wie
?	$.	?
BARON	NN	Baron
.	$.	.
Mir	PPER	ich
scheint	VVFIN	scheinen
.	$.	.
VENIER	NN	VENIER
.	$.	.
Dazu	PAV	dazu
zwei	CARD	zwei
,	$,	,
drei	CARD	drei
Tagdiebe	NN	Tagdiebe
,	$,	,
einer	PIS	eine
,	$,	,
der	ART	die
Sonette	NN	Sonett
und	KON	und
einer	ART	eine
,	$,	,
der	ART	die
Pasquille	NN	Pasquille
schreibt	VVFIN	schreiben
,	$,	,
der	ART	die
dümmste	ADJA	dumm
Abbate	NN	Abbate
und	KON	und
der	ART	die
zudringlichste	ADJA	zudringlichste
Jude	NN	Jude
–	ADJA	–
BARON	NN	Baron
.	$.	.
Und	KON	und
du	PPER	du
und	KON	und
ich	PPER	ich
,	$,	,
dann	ADV	dann
ists	VVFIN	ists
die	ART	die
Arche	NN	Arche
Noah	NE	Noah
!	$.	!
Jeder	PIAT	jede
Art	NN	Art
ein	ART	eine
Tier	NN	Tier
.	$.	.
Und	KON	und
daß	KOUS	dass
so	ADV	so
viele	PIAT	viele
Arten	NN	Art
sind	VAFIN	sein
,	$,	,
das	PDS	die
macht	VVFIN	machen
die	ART	die
Welt	NN	Welt
so	ADV	so
bunt	ADJD	bunt
.	$.	.
Wen	PWS	wer
möchtest	VMFIN	mögen
du	PPER	du
entbehren	VVINF	entbehren
?	$.	?
Ich	PPER	ich
den	ART	die
tollen	ADJA	toll
Neger	NN	Neger
nicht	PTKNEG	nicht
,	$,	,
der	PRELS	die
von	APPR	von
der	ART	die
Riva	NE	Riva
taucht	VVFIN	tauchen
um	APPR	um
einen	ART	eine
Soldo	NE	Soldo
und	KON	und
mit	APPR	mit
den	ART	die
Hunden	NN	Hund
sich	PRF	sich
ums	APPRART	ums
Essen	NN	Essen
beißt	VVFIN	beißen
,	$,	,
und	KON	und
nicht	PTKNEG	nicht
den	ART	die
goldnen	ADJA	goldnen
Dogen	NN	Doge
,	$,	,
der	PRELS	die
an	APPR	an
uns	PPER	wir
vorüberschwebt	VVFIN	vorüberschwebt
auf	APPR	auf
einer	ART	eine
Purpurwolke	NN	Purpurwolke
und	KON	und
einem	ART	eine
goldnen	ADJA	goldnen
Schiff	NN	Schiff
.	$.	.
In	APPR	in
tausend	CARD	tausend
Masken	NN	Maske
läuft	VVFIN	laufen
er	PPER	er
um	APPR	um
mich	PRF	ich
und	KON	und
zupft	VVFIN	zupfen
mich	PRF	ich
am	APPRART	an
Gewand	NN	Gewand
,	$,	,
der	ART	die
Dieb	NN	Dieb
,	$,	,
der	ART	die
Schlüssel	NN	Schlüssel
stahl	VVFIN	stehlen
zu	APPR	zu
meinem	PPOSAT	mein
Glück	NN	Glück
.	$.	.
Lebhafter	NN	Lebhafte
.	$.	.
In	APPR	in
einen	ART	eine
Edelstein	NN	Edelstein
hineingebannt	VVPP	hineingebannt
ist	VAFIN	sein
unsres	PPOSAT	unser
Geistes	NN	Geist
Geist	NN	Geist
,	$,	,
des	ART	die
Schicksals	NN	Schicksal
Schicksal	NN	Schicksal
.	$.	.
Der	PDS	die
hängt	VVFIN	hängen
vielleicht	ADV	vielleicht
zwischen	APPR	zwischen
den	ART	die
schönen	ADJA	schön
Brüsten	NN	Brust|Brüsten
der	ART	die
Redegonda	NN	Redegonda
,	$,	,
und	KON	und
er	PPER	er
schläft	VVFIN	schlafen
vielleicht	ADV	vielleicht
bei	APPR	bei
Zwiebeln	NN	Zwiebel
in	APPR	in
der	ART	die
Tasche	NN	Tasche
eines	ART	eine
Juden	NN	Jude
,	$,	,
was	PRELS	was
weiß	VVFIN	wissen
ich	PPER	ich
!	$.	!
nicht	PTKNEG	nicht
?	$.	?
VENIER	NN	VENIER
.	$.	.
Du	PPER	du
bist	VAFIN	sein
sehr	ADV	sehr
aufgeräumt	VVPP	aufräumen
.	$.	.
BARON	NN	Baron
tritt	VVFIN	treten
nahe	PTKVZ	nahe
zu	APPR	zu
ihm	PPER	er
.	$.	.
Sei	VAFIN	sein
nicht	PTKNEG	nicht
zu	PTKA	zu
stolz	ADJD	stolz
darauf	PAV	darauf
,	$,	,
daß	KOUS	dass
du	PPER	du
nicht	PTKNEG	nicht
Dreißig	NN	Dreißig
bist	VAFIN	sein
!	$.	!
Was	PWS	was
später	ADJD	spät
kommt	VVFIN	kommen
,	$,	,
ist	VAFIN	sein
auch	ADV	auch
nicht	PTKNEG	nicht
arm	ADJD	arm
.	$.	.
Rückkehren	NE	Rückkehren
und	KON	und
nicht	PTKNEG	nicht
vergessen	VVPP	vergessen
sein	VAINF	sein
:	$.	:
der	ART	die
Mund	NN	Mund
wie	KOKOM	wie
Rosen	NN	Rose
,	$,	,
die	ART	die
offnen	ADJA	offnen
Arme	NN	Arm|Arme
da	PTKVZ	da
,	$,	,
hineinzufliegen	VVIZU	hineinfliegen
!	$.	!
Als	KOUS	als
wär	ADJD	wär
man	PIS	man
einen	ART	eine
Tag	NN	Tag
nur	ADV	nur
fern	ADJD	fern
gewesen	VAPP	sein
–	NN	–
und	KON	und
den	ART	die
Ulysses	NN	Ulysses
grüßte	VVFIN	grüßen
kaum	ADV	kaum
sein	PPOSAT	sein
Hund	NN	Hund
!	$.	!
Immer	ADV	immer
fröhlicher	ADJD	fröhlich
.	$.	.
Ich	PPER	ich
will	VMFIN	wollen
hier	ADV	hier
Feste	NN	Fest
geben	VVINF	geben
.	$.	.
Schaff	VVIMP	schaffen
mir	PPER	ich
Löwen	NN	Löwe
,	$,	,
Zu	APPR	zu
Le	NE	Le
Duc	NE	Duc
.	$.	.
die	ART	die
Blumensträuße	NN	Blumenstrauß
aus	APPR	aus
den	ART	die
Rachen	NN	Rachen
werfen	VVINF	werfen
!	$.	!
Vergoldete	ADJA	vergoldet
Delphine	NN	Delphin
stell	VVIMP	stellen
vors	APPRART	vors
Tor	NN	Tor
,	$,	,
die	ART	die
roten	ADJA	rot
Wein	NN	Wein
ins	APPRART	in
grüne	ADJA	grün
Wasser	NN	Wasser
spein	NN	spein
!	$.	!
Nicht	PTKNEG	nicht
drei	CARD	drei
,	$,	,
nicht	PTKNEG	nicht
fünf	CARD	fünf
,	$,	,
zehn	CARD	zehn
Diener	NN	Diener
nimm	VVIMP	nehmen
mir	PPER	ich
auf	PTKVZ	auf
und	KON	und
schaff	VVIMP	schaffen
Livreen	NN	Livree
.	$.	.
An	APPR	an
den	ART	die
Treppen	NN	Treppe
sollen	VMFIN	sollen
drei	CARD	drei
Gondeln	NN	Gondel
hängen	VVFIN	hängen
voller	ADJA	voll
Musikanten	NN	Musikant
in	APPR	in
meinen	PPOSAT	mein
Farben	NN	Farbe
.	$.	.
VENIER	NN	VENIER
lächelnd	ADJD	lächelnd
.	$.	.
Ihr	PPER	sie
beschämt	VVFIN	beschämen
uns	PPER	wir
alle	PIS	alle
.	$.	.
BARON	NN	Baron
.	$.	.
Wie	KOUS	wie
?	$.	?
schon	ADV	schon
zuviel	PIS	zuviele
?	$.	?
zuviel	PIAT	zuviele
?	$.	?
noch	ADV	noch
nicht	PTKNEG	nicht
genug	ADV	genug
!	$.	!
Ich	PPER	ich
will	VMFIN	wollen
den	ART	die
Campanile	NN	Campanile
um	PTKVZ	um
und	KON	und
um	KOUI	um
in	APPR	in
Rosen	NN	Rose
und	KON	und
Narzissen	NN	Narzisse
wickeln	VVINF	wickeln
.	$.	.
Droben	ADV	droben
auf	APPR	auf
seiner	PPOSAT	sein
höchsten	ADJA	hoch
Spitze	NN	Spitze
sollen	VMFIN	sollen
Flammen	NN	Flamme
von	APPR	von
Sandelholz	NN	Sandelholz
genährt	VVPP	nähren
mit	APPR	mit
Rosenöl	NN	Rosenöl
den	ART	die
Leib	NN	Leib
der	ART	die
Nacht	NN	Nacht
mit	APPR	mit
Riesenarmen	NN	Riesenarmen
fassen	VVINF	fassen
.	$.	.
Ich	PPER	ich
mach	VVIMP	machen
aus	APPR	aus
dem	ART	die
Kanal	NN	Kanal
ein	ART	eine
fließend	ADJD	fließend
Feuer	NN	Feuer
,	$,	,
streu	ADJD	streu
so	ADV	so
viel	PIAT	viele
Blumen	NN	Blume
aus	PTKVZ	aus
,	$,	,
daß	KOUS	dass
alle	PIAT	alle
Tauben	NN	Taube
betäubt	VVFIN	betäuben
am	APPRART	an
Boden	NN	Boden
flattern	VVINF	flattern
,	$,	,
so	ADV	so
viel	PIAT	viele
Fackeln	NN	Fackel
,	$,	,
daß	KOUS	dass
sich	PRF	sich
die	ART	die
Fische	NN	Fisch
angstvoll	ADJD	angstvoll
in	APPR	in
den	ART	die
Grund	NN	Grund
des	ART	die
Meeres	NN	Meer
bohren	VVINF	bohren
,	$,	,
daß	KOUS	dass
Europa	NE	Europa
sich	PRF	sich
mit	APPR	mit
ihren	PPOSAT	ihr
nackten	ADJA	nackt
Nymphen	NN	Nymphe
aufgescheucht	VVPP	aufscheuchen
in	APPR	in
einem	ART	eine
dunkleren	ADJA	dunkel
Gemach	NN	Gemach
versteckt	VVPP	verstecken
und	KON	und
daß	KOUS	dass
ihr	PPOSAT	ihr
Stier	NN	Stier
geblendet	VVPP	blenden
laut	ADJD	laut
aufbrüllt	VVFIN	aufbrüllt
!	$.	!
Mach	VVIMP	machen
Dichterträume	NN	Dichterträume
wahr	ADJD	wahr
,	$,	,
stampf	VVIMP	stampfen
aus	APPR	aus
dem	ART	die
Grab	NN	Grab
den	ART	die
Veronese	NN	Veronese
und	KON	und
den	ART	die
Aretin	NN	Aretin
,	$,	,
spann	VVFIN	spinnen
Greife	NN	Greif
vor	PTKVZ	vor
,	$,	,
bau	VVIMP	bauen
eine	ART	eine
Pyramide	NN	Pyramide
aus	APPR	aus
Leibern	NN	Leib
junger	ADJA	jung
Mädchen	NN	Mädchen
,	$,	,
welche	PRELS	welche
singen	VVINF	singen
!	$.	!
Die	ART	die
Pferde	NN	Pferd
von	APPR	von
Sankt	NE	Sankt
Markus	NE	Markus
sollen	VMFIN	sollen
wiehern	VVINF	wiehern
und	KON	und
ihre	PPOSAT	ihr
ehrnen	ADJA	ehrnen
Nüstern	NN	Nüster
blähn	VVFIN	blähn
vor	APPR	vor
Lust	NN	Lust
!	$.	!
Die	PDS	die
oben	ADV	oben
liegen	VVFIN	liegen
in	APPR	in
den	ART	die
bleiernen	ADJA	bleiern
Kammern	NN	Kammer
und	KON	und
ihre	PPOSAT	ihr
Nägel	NN	Nagel
bohren	VVFIN	bohren
in	APPR	in
die	ART	die
Wand	NN	Wand
,	$,	,
die	PRELS	die
sollen	VMFIN	sollen
innehalten	VVINF	innehalten
und	KON	und
schon	ADV	schon
meinen	VVFIN	meinen
,	$,	,
der	ART	die
Jüngste	ADJA	jung
Tag	NN	Tag
ist	VAFIN	sein
da	ADV	da
,	$,	,
und	KON	und
daß	KOUS	dass
die	ART	die
Engel	NN	Engel
mit	APPR	mit
rosenen	ADJA	rosenen
Händen	NN	Hand
und	KON	und
dem	ART	die
wilden	ADJA	wild
Duft	NN	Duft
der	ART	die
Schwingen	NN	Schwinge|Schwingen
niederstürzend	ADJD	niederstürzend
jetzt	ADV	jetzt
das	ART	die
Dach	NN	Dach
von	APPR	von
Blei	NN	Blei
hinweg	PTKVZ	hinweg
,	$,	,
herein	ADV	herein
den	ART	die
Himmel	NN	Himmel
reißen	VVINF	reißen
!	$.	!
Plötzlich	ADJD	plötzlich
innehaltend	ADJD	innehaltend
.	$.	.
St	NE	St
!	$.	!
St	NE	St
!	$.	!
hör	VVIMP	hören
ich	PPER	ich
nicht	PTKNEG	nicht
singen	VVINF	singen
?	$.	?
Kommts	NN	Kommts
nicht	PTKNEG	nicht
näher	PTKVZ	näher
?	$.	?
Merk	NN	<UNKNOWN>
auf	PTKVZ	auf
!	$.	!
Hörst	VVFIN	hören
du	PPER	du
nicht	PTKNEG	nicht
eine	ART	eine
süße	ADJA	süß
Stimme	NN	Stimme
?	$.	?
Hierher	ADV	hierher
!	$.	!
Noch	ADV	noch
nichts	PIS	nichts
?	$.	?
Nein	PTKANT	nein
,	$,	,
früher	ADV	früher
war	VAFIN	sein
es	PPER	es
stärker	ADJD	stark
!	$.	!
Du	PPER	du
hörst	VVFIN	hören
gar	ADV	gar
nichts	PIS	nichts
!	$.	!
So	ADV	so
ists	VVFIN	ists
in	APPR	in
meinem	PPOSAT	mein
Blut	NN	Blut
.	$.	.
VENIER	NN	VENIER
ist	VAFIN	sein
plötzlich	ADJD	plötzlich
wieder	ADV	wieder
aufgestanden	VVPP	aufstehen
und	KON	und
hat	VAFIN	haben
sein	PPOSAT	sein
Glas	NN	Glas
so	ADV	so
heftig	ADJD	heftig
auf	APPR	auf
den	ART	die
kleinen	ADJA	klein
Tisch	NN	Tisch
gesetzt	VVPP	setzen
,	$,	,
daß	KOUS	dass
es	PPER	es
klirrend	ADJD	klirrend
zerbricht	VVFIN	zerbrechen
.	$.	.
Hier	ADV	hier
ist	VAFIN	sein
ein	ART	eine
Glas	NN	Glas
entzwei	PTKVZ	entzwei
.	$.	.
Verzeihen	VVFIN	verzeihen
Sie	PPER	Sie
.	$.	.
Es	PPER	es
gibt	VVFIN	geben
dergleichen	PIS	dergleichen
Tage	NN	Tag
,	$,	,
wo	PWAV	wo
ein	ART	eine
tolles	ADJA	toll
und	KON	und
widerwärtiges	ADJA	widerwärtig
Geschick	NN	Geschick
den	ART	die
Kopf	NN	Kopf
,	$,	,
von	APPR	von
